experiment_id,date,trial_type,hypothesis,signal_definition,universe,holding_period,features,model,parameters,train_period,validation_period,expected_result,falsification_condition,actual_result,decision
H6b,2026-09-05,diagnostic,Horizon refinement: where in event time does the no-news reversal accrue?,decile spread of score_k1 over windows close t+a -> t+b,"DEV eligible, no-news (8-K Tier 1)","windows (0,1),(1,2),(1,4),(2,5)",,,,DEV,none,front-loaded decay,n/a (diagnostic),"No-news decile spread: t->t+1 6.8 bp (t=5.63); t+1->t+2 1.7 bp (t=1.58); t+1->t+4 3.4 bp (t=1.81); t+2->t+5 1.7 bp (t=0.90). News movers: t->t+1 -15.4 bp (t=-3.79), later windows insignificant. The lagged daily proxy can only capture the weak tail; the MOC model at t is required. Holding candidates narrowed to {1,2,3} days for the MOC model.","DIAGNOSTIC: day-1 capture is essential; horizon candidates {1,2,3}"
RES-1,2026-09-05,diagnostic,"Residualization method comparison for the reversal score (signal construction, DEV only)",score = -(r_t - beta_lag*f_t)/vol_lag with beta variants,DEV eligible_moc names (207-symbol preview subset),1,,,,DEV,none,in-window residual best; lagged betas noisier,n/a,"Quintile spread bp/day (t): in-window OLS SPY+sector 5.2 (4.25); lagged SPY+sector 120d 4.3 (3.43); SPY-only beta 120d 4.3 (2.69); SPY-only beta 250d 5.1 (3.04); SPY-only 120d shrunk 50% to 1 4.8 (2.90); SPY+sector 250d 5.5 (4.19); SPY-only 60d 4.5 (2.78). Preview subset, 2005-2018.",DIAGNOSTIC: choose the best ex-ante variant for the MOC score
COST-2,2026-09-05,diagnostic,Cost-model diagnostic: are range-based spread estimators usable for S&P 500 names?,"max(Corwin-Schultz, Abdi-Ranaldo) 21-day trailing, negatives zeroed, cap 100 bp",eligible PIT members,,,,,2005-2026,none,estimates near quoted spreads (2-10 bp),n/a,"Median estimated FULL spread 42-56 bp/year in normal years, ~100 bp in 2008-09; 2018 cross-section p10/p50/p90 = 28/52/100 bp, i.e. ~10x quoted spreads of S&P 500 stocks. Consistent with Ardia-Guidotti-Kroencke: range estimators are dominated by volatility in liquid names. Consequence: the estimator is NOT used as a cost basis; auction fills (MOC/MOO/LOC) and resting limit fills pay no spread; any continuous-session market-order variant must use a liquidity-bucket assumption (3-10 bp) labelled as such.",DIAGNOSTIC: estimator rejected as cost basis for large caps; documented in 06_DATA_AUDIT.md and the report
EXEC-1,2026-09-05,diagnostic,"Resting limit orders during the next session (entries at close*(1 -/+ delta*sigma), exits MOC) earn the spread and beat MOC net of costs","score_moc_k1, quintiles, holding 3","preview subset (444 names), DEV",3,,,"delta in {0.5,1.0}, fill if a 15-min bar trades through the limit by 5 bp",DEV 2005-2018,none,net SR > MOC net SR,net SR <= MOC net SR,"Preview DEV: delta 1.0 gross SR -0.49, net SR -1.09 (fills concentrate in names whose drop continues; day-1 reversal forfeited). delta 0.5 worse. MOC comparison: gross 1.29 / net 0.26.",FALSIFIED: resting-limit entry rejected
EXEC-2,2026-09-05,diagnostic,Limit-on-close entries (fill at the closing auction only if the close extends the 15:45 move by delta*sigma_intraday) improve net Sharpe vs MOC by filtering entries to persistent pressure,"score_moc_k1, quintiles, holding 3; LOC entries, MOC exits","preview subset (444 names), DEV",3,,,"delta in {0.5,1.0}; sigma_intraday = trailing mean |15:45->close move|",DEV 2005-2018,none,net SR > MOC,net SR <= MOC,"Preview DEV: LOC delta 0.5 gross 1.05 / net 0.42 (turnover 0.71, cost 1.5 bp); delta 1.0 gross 1.11 / net 0.47 (turnover 0.66, cost 1.4 bp) vs MOC gross 1.29 / net 0.26. No spread charged on auction fills; commissions/fees/impact/borrow charged.",SUPPORTED on preview: LOC added to the registered DEV grid (execution axis)
COST-3,2026-09-05,diagnostic,Deployment-context change (user directive 2026-09-05): institutional / exchange-member cost profile replaces the retail profile as primary,,,,,,"per-share 0.0012 (auction fee + clearing), no minimum, borrow 0.3%/yr, SEC 31 fee + FINRA TAF on sells, Almgren impact; retail profile retained as sensitivity",all,n/a,n/a,n/a,Applied before the registered DEV grid; preview runs to date used the retail profile at $1M.,APPLIED
CAP-1,2026-09-05,diagnostic,"Capacity: net Sharpe vs capital under the institutional profile; primary capital = argmax of the DEV curve (pre-specified), full curve reported",,,,,,"capital in {1,5,20,50,100,200} $M; impact = Almgren power law on ADV participation",DEV,none,net SR peaks in the tens of $M then declines with impact,n/a,PENDING,PENDING
RISK-1,2026-09-05,diagnostic,"Leverage policy (design decision, not a tuned parameter): 10% vol target, gross <= 3.0, drawdown rule halve at -10% / restore at -5%; sensitivities at gross 2.0 and 5.0",,,,,,"sources: AIMA/Aurum market-neutral primers (400-600% gross norm; ~200% conservative), Khandani & Lo 2007 unwind, portfolio-margin and net-capital ceilings ~6x",all,n/a,n/a,n/a,Applied before the registered DEV grid.,APPLIED
STRAT-3,2026-09-05,diagnostic,"Third strategy (PEAD replication): on earnings-8-K days known by 15:40, residual moves CONTINUE over 1-10 days; trade with the move at the close","-score_moc_k1 on earnings-flag names, event construction (|z|>=1 or 2), MOC fills","PIT S&P 500, eligible_base & earnings_flag_1540","1,3,5,10",,,,DEV,VAL one-shot if DEV passes,positive net drift at 1-5 days (H8),net SR <= 0 on DEV,PENDING,PENDING
STRAT-4,2026-09-05,diagnostic,"Volume-conditioned earnings drift: continuation after earnings-8-K moves is stronger when announcement-day (through 15:45) abnormal turnover is high (Lerman, Livnat & Mendenhall 2008, SSRN 1122463: high-volume premium and PEAD are complementary)",earnings_drift event construction restricted to high vs low abnormal intraday turnover tercile,earnings-8-K movers,"1,3",,,,DEV,VAL one-shot if DEV passes,high-volume bucket net SR > low-volume bucket,no difference or high <= 0,PENDING,PENDING
STRAT-5,2026-09-05,diagnostic,Timing-conditioned earnings drift: after-hours filings (reaction concentrated in the overnight gap) vs intraday filings show different continuation over 1-3 days (overnight-reaction literature; Martineau 2022 prior: no multi-day PEAD in large stocks since 2006),earnings_drift event construction split by filing-time bucket at the 15:40 decision,earnings-8-K movers,"1,3",,,,DEV,VAL one-shot if DEV passes,after_hours bucket shows continuation; intraday bucket weaker,neither bucket net SR > 0,PENDING,PENDING
UNIV-1,2026-09-05,diagnostic,Universe cross-check: FMP point-in-time S&P 500 membership vs Wikipedia,,S&P 500,,,,,all,n/a,agreement,material disagreement,"Current constituents: 503 in both sources, identical sets. 'Date added': 98.2% exact match, 99.0% within 7 days; disagreements are the GOOG/GOOGL share-class listing (2006 vs 2014) and DD (DowDuPont reorganisation, 62 days). Wikipedia's historical change table is no longer published on the page (2026), so the pre-2026 change list is validated only through the survivorship-gap analysis and internal consistency.","PASS (current list); historical list: FMP only, documented"
CONS-1,2026-09-05,diagnostic,"Construction ablation on the preview panel (DEV, market-maker, LOC k1 h3 q5): beta hedge + sector neutrality, ex-ante pre-earnings exclusion, auction-volume participation",,,,,,each element toggled at $5M and $50M,DEV,none,each element non-negative for net Sharpe or drawdown,n/a,"$5M: all-on gross 0.82 / net 0.48 / maxDD -0.11; hedge+sector off: gross 0.82 / net 0.24 (turnover 0.67 vs 0.41) -> KEEP hedge+sector; pre-earnings exclusion off: gross 0.99 / net 0.68 / maxDD -0.11 -> PRIMARY OFF (robustness variant); ADV-based participation instead of auction-volume: net 0.63 at $5M and 0.49 at $50M vs 0.48 / -0.11 with auction volume -> auction-volume participation KEPT (conservative; capacity is set by closing-auction volume, impact 1.5 bp/day at $50M).","DEV decision before VAL: hedge+sector ON, pre-earnings exclusion OFF, auction-volume participation ON"
CAP-1-rule,2026-09-05,diagnostic,"Primary capital rule (pre-specified before the full-panel run): the largest size on the DEV capacity curve whose net Sharpe is >= 90% of the curve maximum, evaluated on the selected configuration under the market-maker profile",,,,,,"curve {1,5,20,50,100,200} $M",DEV,n/a,n/a,n/a,"Preview curve (pre-hedge): 1M 0.89, 5M 0.83, 20M 0.71 -> $5M would be chosen; to be recomputed on the full panel with the selected configuration.",RULE FIXED
